frame	slot	value	definition	synset_ID
Existence	NAME	Existence	An Entity is declared to exist, generally irrespective of its position or even the possibility of its position being specified	
Existence	FE	Entity	Some entity, abstract or concrete, which is stated to exist.	
Existence	FE	Time	A time at which the entity is in existence.	
Existence	FE	Duration	The period during which the Entity exists.	
Existence	FE	Inherent_purpose	The reason why the Entity exists.  Generally, this is more specifically the reason why the Entity was made.	
Existence	FE	State	The condition that the Entity exists in.  'Natural electricity exists in many forms:  in storms, solar wind, and nerve impulses.'	
Existence	FE	Explanation	A situation, force, or entity which brings about the existence of the Entity.	
Existence	FE	Place	Where the Entity exists.	
Existence	FE	Circumstances	Circumstances marks expressions that indicate a set of conditions under which the Entity is declared to exist	
Existence	FE	Viewpoint	The perspective of an individual who judges whether they consider the Entity (or further state of affairs) to exist or not.  'For him, there 's just too much drink in the world.'	
Existence	FE	Concessive	This FE signifies that the state of affairs expressed by the main clause (containing the target) occurs or holds, and something other than that state of affairs would be expected given the state of affairs in the concessive clause. 	
Existence	FE	Depictive	This FE describes a participant of the state of affairs introduced by the target as being in some state during the action. 	
Existence	LU	exist.v	FN: be real, directly or indirectly perceptible.	
Existence	LU	existence.n	COD:  the fact or state of existing.	
Existence	LU	real.a	COD: actually existing or occurring in fact; not imagined or supposed.	
Existence	LU	there be.v	COD: exist; be present	
Existence	LU	remain.v	COD: be in the same place or condition during further time.	
Mental_activity	NAME	Mental_activity	In this frame, a Sentient_entity has some activity of the mind operating on a particular Content or about a particular Topic	
Mental_activity	FE	Sentient_entity	The individual whose mind has a particular piece of Content in it, or, more generically portrayed, whose mind is focussed on a particular Topic. 	
Mental_activity	FE	Content	The situation or state-of-affairs that the Sentient_entity's attention is focussed on. 	
Mental_activity	FE	Evidence	The source of awareness or knowledge of the Content.	
Mental_activity	FE	Topic	A description of the kind of Content in the Sentient_entity's attention in terms of an idea which is salient throughout the Content.	
Mental_activity	FE	Degree	This FE identifies the Degree to which an event occurs.	
Mental_activity	FE	Manner	Any description of the cognitive act which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way). In addition, it may indicate salient characteristics of a Sentient_entity that also affect the action (presumptuously, coldly, deliberately, eagerly, carefully). 	
Mental_activity	FE	Expressor	Expressor is the body part that reveals the Sentient_entity's state to the observer. 	
Mental_activity	FE	Role	The category that an element of the Content is considered to belong to. 	
Mental_activity	FE	Paradigm	The system of knowledge which serves as the basis for the Sentient_entity's awareness.  'The formation of black holes should be understood in astrophysic terms.'	
Mental_activity	FE	Time	The time interval during which the Sentient_entity has the Content in their attention.  	
Education_teaching	NAME	Education_teaching	This frame contains words referring to teaching and the participants in teaching	
Education_teaching	FE	Teacher	One who instructs a Student in some area of knowledge or skill.	
Education_teaching	FE	Student	One who is instructed by a Teacher in skills or knowledge.	
Education_teaching	FE	Institution	An educational establishment, such as a school or college.	
Education_teaching	FE	Subject	The area of knowledge or skill which is taught by a Teacher or to a Student.  'She's a French Teacher'	
Education_teaching	FE	Level	This FE identifies the Level of a student in his/her education. This is  distinct from the goal or qualification towards which a student is working (Qualification ). 'a graduate student ' 'a fourth grade student ' The above are both Levels, in contrast to: 'a doctoral Student ' 'an MA Student '	
Education_teaching	FE	Qualification	A formal Qualification such as an academic degree or a certificate for which a student is aiming.   'She's Studying for a Master's degree' 'She's an MA Student'   	
Education_teaching	FE	Degree	Degree to which event occurs	
Education_teaching	FE	Depictive	Depictive phrase describing the actor of an action	
Education_teaching	FE	Manner	Manner of performing an action	
Education_teaching	FE	Means	An intentional action performed by the actor (Student or Teacher depending on the profiling of particular words) that lets them achieve the instruction or learning they are attempting. 	
Education_teaching	FE	Result	Result of an event	
Education_teaching	FE	Time	The time when the teaching occurs.	
Education_teaching	FE	Place	The Place is the location within which the teaching takes place.  <!--Consider whether a possible Place phrase is really where the training took place or is rather part of a description of the Institution. --> 	
Education_teaching	FE	Duration	The amount of time for which a state holds or a process is ongoing.	
Education_teaching	FE	Skill	An action which the Student is able to perform as a result of instruction.   'Taut with worry, Dad taught us how to drive. '	
Education_teaching	FE	Precept	A guideline for correct behavior. In most cases, this concerns morally or socially desirable actions.  'My brother taught me not to be mean to guys when I'm not interested in them.'	
Education_teaching	FE	Fact	A piece of information that the Student is informed of by the Teacher.  'When I was two she taught me that a quarter was 25 cents and a dime was 10 cents.'	
Education_teaching	FE	Material	"Educational Material, such as books, tapes, or videos, used by a Teacher or a Student to acquire skills or knowledge.  'All employees have received a booklet INSTRUCTING them on how to report ` anything from unwanted touching and uncalled-for blue jokes to overt demands for sexual favours . ""'"	
Education_teaching	FE	Role	A role, typically professional or vocational,  that the Student is meant to be able to fill as a result of their training.  ' When his father died he went to live with an uncle in Ka'u who trained him as a warrior during his teenage years'	
Education_teaching	FE	Course	FN: a program of lectures or other matter dealing with a subject	
Education_teaching	FE	Purpose	The state-of-affairs that the Teacher hopes to bring about by teaching.  'I teach so that I can see the little light-bulb light up.'	
Education_teaching	LU	student.n	FN: A person who is taught by another, often (at least in British English) at a university or other place of higher education 	
Education_teaching	LU	pupil.n	COD: a person who is taught by another, especially a schoolchild. 	
Education_teaching	LU	teacher.n	FN: A person who teaches in an educational establishment	
Education_teaching	LU	professor.n	FN: a university academic (in BrE: of the highest rank)	
Education_teaching	LU	tutor.n	FN: a teacher, typically one who teaches a single pupil or a very small group	
Education_teaching	LU	lecturer.n	COD: person who gives lectures, especially as a teacher in higher education. 	
Education_teaching	LU	tutee.n	COD: a student or pupil of a tutor	
Education_teaching	LU	schoolmaster.n	COD: a male teacher in a school. 	
Education_teaching	LU	schoolmistress.n	COD: a female teacher in a school	
Education_teaching	LU	schoolteacher.n	COD: a person who teaches in a school.	
Education_teaching	LU	study.v	COD: acquire knowledge on.	
Education_teaching	LU	tutor.v	COD: act as a tutor to	
Education_teaching	LU	coach.v	COD: train or teach as a coach.	
Education_teaching	LU	educate.v	COD: train or give information on a particular subject.	
Education_teaching	LU	learn.v	FN: acquire knowledge of or skill in (something) through study or by being taught.	
Education_teaching	LU	school.v	COD: train in a particular skill or activity.	
Education_teaching	LU	train.v	FN: teach a particular skill or type of behaviour through regular practice and instruction.	
Education_teaching	LU	training.n	FN: instruction in a particular skill or field.	
Education_teaching	LU	instruct.v	COD: to teach	
Education_teaching	LU	teach.v	COD: impart knowledge to or instruct (someone) in how to do something, especially in a school or as part of a recognized programme	
Education_teaching	LU	instruction.n	COD: education. 	
Education_teaching	LU	education.n	COD:  the process of educating or being educated.	
Education_teaching	LU	master.v	COD: acquire complete knowledge or skill in	
Education_teaching	LU	educational.a	FN: of or related to the process of educating 	
Education_teaching	LU	graduate.n	COD: a person who has been awarded a first academic degree, or (N. Amer.) a high-school diploma.	
Education_teaching	LU	protege.n	FN: a student of an expert	
Education_teaching	LU	cram.v	FN: study in an intense fashion, usually because of an imminent exam	
Immobilization	NAME	Immobilization	The Agent immobilizes a Patient optionally,  to an Anchor	
Immobilization	FE	Agent	The Agent immobilizes the Patient. 'Lisa handcuffed Mike to the refridgerator.'	
Immobilization	FE	Instrument	The instrument with which an intentional act is performed.	
Immobilization	FE	Patient	The Patient is immobilized by the Agent, optionally to an Anchor.	
Immobilization	FE	Means	An act performed by the Agent that accomplishes the immobilization.	
Immobilization	FE	Purpose	This FE identifies the Purpose for which an Agent immobilizes a Patient.  'Lisa handcuffed Mike to the refridgerator to reduce the mess.'	
Immobilization	FE	Time	When the event occurs.	
Immobilization	FE	Place	Where the event takes place.	
Immobilization	FE	Anchor	The Agent attaches the Patient to an Anchor, generally, an immobile object. Lisa handcuffed Mike to the refridgerator.	
Immobilization	FE	Degree	The extent to which the Patient is immobilized as a result.  'The policman tied up the burglar completely'	
Immobilization	FE	Manner	Any description of the immobilizing event which is not covered by more specific FEs, including secondary effects (quietly, loudly) and general descriptions comparing events (the same way). This FE also covers expressions that indicate salient characteristics of the Agent which also affect the action (carefully, eagerly).  'Brian grabbed Kim's arm and handcuffed him quickly.'	
Immobilization	LU	tie up.v	FN: immobilize someone or something	
Immobilization	LU	lock up.v	FN: make or become rigidly fixed or immovable by locking	
Immobilization	LU	handcuff.v	COD: put handcuffs on. 	
Immobilization	LU	shackle.v	COD: chain with shackles. 	
Immobilization	LU	straitjacket.v	FN: confine in a straitjacket.	
Response_scenario	NAME	Response_scenario	A Trigger elicits a Response by some Responding_entity or an Agent	
Response_scenario	FE	Responding_entity	A non-agentive entity that is impinged upon by a Trigger event to which they respond.	
Response_scenario	FE	Trigger	An event that impinges upon the Agent or Responding_entity and produces a Response from it.	
Response_scenario	FE	Response	The means action whereby the Agent responds to the Trigger. 	
Response_scenario	FE	Agent	The intentional Agent that is impinged upon by a Trigger event to which they respond.	
Response_scenario	FE	Manner	A characterization of the Responding_entity, Agent, or their Response action.	
Response_scenario	FE	Place	The location in which the Response action takes place.	
Response_scenario	FE	Purpose	An action that the Agent intends to accomplish by performing the Response action.	
Response_scenario	FE	Time	The point in time when the Agent or Responding_entity manifests its Response to the Trigger .	
