frame	slot	value	definition	synset_ID
Existence	frame	Existence#660	An Entity is declared to exist, generally irrespective of its position or even the possibility of its position being specified	being.n.01
Existence	FE	Entity#4381	Some entity, abstract or concrete, which is stated to exist.	entity.n.01
Existence	FE	Time#4382	A time at which the entity is in existence.	time.n.05
Existence	FE	Duration#4383	The period during which the Entity exists.	duration.n.01
Existence	FE	Inherent_purpose#4384	The reason why the Entity exists.  Generally, this is more specifically the reason why the Entity was made.	purpose.n.01
Existence	FE	State#4385	The condition that the Entity exists in.  'Natural electricity exists in many forms:  in storms, solar wind, and nerve impulses.'	state.n.02
Existence	FE	Explanation#4423	A situation, force, or entity which brings about the existence of the Entity.	explanation.n.01
Existence	FE	Place#6547	Where the Entity exists.	position.n.01
Existence	FE	Circumstances#6730	Circumstances marks expressions that indicate a set of conditions under which the Entity is declared to exist	circumstance.n.01
Existence	FE	Viewpoint#6972	The perspective of an individual who judges whether they consider the Entity (or further state of affairs) to exist or not.  'For him, there 's just too much drink in the world.'	point_of_view.n.01
Existence	FE	Concessive#11083	This FE signifies that the state of affairs expressed by the main clause (containing the target) occurs or holds, and something other than that state of affairs would be expected given the state of affairs in the concessive clause. 	concessive.a.01
Existence	FE	Depictive#11580	This FE describes a participant of the state of affairs introduced by the target as being in some state during the action. 	delineative.s.01
Existence	LU	exist.v#8570	FN: be real, directly or indirectly perceptible.	exist.v.01
Existence	LU	existence.n#8571	COD:  the fact or state of existing.	 being.n.01
Existence	LU	real.a#8572	COD: actually existing or occurring in fact; not imagined or supposed.	real.a.01
Existence	LU	there be.v#10329	COD: exist; be present	be.v.01
Existence	LU	remain.v#14419	COD: be in the same place or condition during further time.	stay.v.01
Mental_activity	frame	Mental_activity#1710	In this frame, a Sentient_entity has some activity of the mind operating on a particular Content or about a particular Topic	activity.n.01
Mental_activity	FE	Sentient_entity#9823	The individual whose mind has a particular piece of Content in it, or, more generically portrayed, whose mind is focussed on a particular Topic. 	awareness.n.02
Mental_activity	FE	Content#9824	The situation or state-of-affairs that the Sentient_entity's attention is focussed on. 	content.n.05
Mental_activity	FE	Evidence#9825	The source of awareness or knowledge of the Content.	evidence.n.01
Mental_activity	FE	Topic#9826	A description of the kind of Content in the Sentient_entity's attention in terms of an idea which is salient throughout the Content.	subject.n.01
Mental_activity	FE	Degree#9827	This FE identifies the Degree to which an event occurs.	degree.n.01
Mental_activity	FE	Manner#9828	Any description of the cognitive act which is not covered by more specific FEs, including secondary effects (quietly, loudly), and general descriptions comparing events (the same way). In addition, it may indicate salient characteristics of a Sentient_entity that also affect the action (presumptuously, coldly, deliberately, eagerly, carefully). 	manner.n.01
Mental_activity	FE	Expressor#9829	Expressor is the body part that reveals the Sentient_entity's state to the observer. 	expression.n.02
Mental_activity	FE	Role#9830	The category that an element of the Content is considered to belong to. 	property.n.02
Mental_activity	FE	Paradigm#9831	The system of knowledge which serves as the basis for the Sentient_entity's awareness.  'The formation of black holes should be understood in astrophysic terms.'	paradigm.n.04
Mental_activity	FE	Time#9832	The time interval during which the Sentient_entity has the Content in their attention.	time_interval.n.01
Education_teaching	frame	Education_teaching#111	This frame contains words referring to teaching and the participants in teaching	teaching.n.01
Education_teaching	FE	Teacher#541	One who instructs a Student in some area of knowledge or skill.	teacher.n.01
Education_teaching	FE	Student#542	One who is instructed by a Teacher in skills or knowledge.	student.n.01
Education_teaching	FE	Institution#543	An educational establishment, such as a school or college.	educational_institution.n.01
Education_teaching	FE	Subject#544	The area of knowledge or skill which is taught by a Teacher or to a Student.  'She's a French Teacher'	discipline.n.01
Education_teaching	FE	Level#545	This FE identifies the Level of a student in his/her education. This is  distinct from the goal or qualification towards which a student is working (Qualification ). 'a graduate student ' 'a fourth grade student ' The above are both Levels, in contrast to: 'a doctoral Student ' 'an MA Student '	grade.n.02
Education_teaching	FE	Qualification#568	A formal Qualification such as an academic degree or a certificate for which a student is aiming.   'She's Studying for a Master's degree' 'She's an MA Student'   	award.n.02
Education_teaching	FE	Degree#574	Degree to which event occurs	degree.n.01
Education_teaching	FE	Depictive#575	Depictive phrase describing the actor of an action	delineative.s.01
Education_teaching	FE	Manner#578	Manner of performing an action	manner.n.01
Education_teaching	FE	Means#579	An intentional action performed by the actor (Student or Teacher depending on the profiling of particular words) that lets them achieve the instruction or learning they are attempting. 	means.n.02
Education_teaching	FE	Result#580	Result of an event	result.n.03
Education_teaching	FE	Time#6510	The time when the teaching occurs.	time.n.02
Education_teaching	FE	Place#6511	The Place is the location within which the teaching takes place.  <!--Consider whether a possible Place phrase is really where the training took place or is rather part of a description of the Institution. --> 	place.n.02
Education_teaching	FE	Duration#6512	The amount of time for which a state holds or a process is ongoing.	duration.n.01
Education_teaching	FE	Skill#6513	An action which the Student is able to perform as a result of instruction.   'Taut with worry, Dad taught us how to drive. '	skill.n.02
