lemma1	senseID1	terms1	lemma2	senseID2	terms2
recessione	bn:00066516n	{'recessione', 'Depressione_economica', 'Recessione_economica', 'recessioni', 'Recessione', 'Depressione_(economia)', 'recessione_economica', 'Depressione', 'crisi_economica'}	PIL	bn:00037570n	{'prodotto_Interno_Lordo', 'Prodotto_interno_lordo_nominale', 'Gross_national_income_pro_capita', 'prodotto_interno_lordo', 'Prodotto_Interno_Lordo', 'pil_pro_capite', 'Pil_nominale', 'P.I.L.', 'il_prodotto_interno_lordo', 'GDP', 'Pil', 'PIL', 'pil'}
Cesare	bn:00014550n	{'Gaius_Julius_Caesar', 'Gaio_Giulio_Cesare', 'Caio_Giulio_Cesare', 'Cesare', 'Gaius_Iulius_Caesar', 'giulio_cesare', 'cesare', 'Giulio_Cesare', 'Cesariani', 'Iulius_Caesar', 'imperatore', 'gaio_giulio_cesare'}	Giulio Cesare	bn:00014550n	{'Gaius_Julius_Caesar', 'Gaio_Giulio_Cesare', 'Caio_Giulio_Cesare', 'Cesare', 'Gaius_Iulius_Caesar', 'giulio_cesare', 'cesare', 'Giulio_Cesare', 'Cesariani', 'Iulius_Caesar', 'imperatore', 'gaio_giulio_cesare'}
paziente	bn:00001742n	{'ruolo_del_paziente', 'paziente', 'ruolo_interessato'}	sessione	bn:00070690n	{'tornata', 'sessione', 'seduta'}
paziente	bn:00061017n	{'malato', 'pazienti_ricoverati', 'Pazienti', 'paziente', 'procedura_ambulatoriale', 'cliente', 'paziente_ambulatoriale', 'pazienti', 'degente', 'ambulatoriali', 'ammalato', 'assistito'}	terapia	bn:00076842n	{'terapeutica', 'terapia'}
comportamentismo	bn:00009659n	{'comportamentisti', 'analisi_del_comportamento', 'Comportamentismo_Radicale', 'Psicologia_comportamentale', 'Behaviourismo', 'psicologia_comportamentista', 'Scienze_del_comportamento', 'analisi_comportamentale', 'psicologo_comportamentale', 'psicologia_comportamentale', 'Comportamentismo_radicale', 'Behaviorismo', 'comportamentismo', 'Behavior_Based_Safety', 'behaviourismo', 'Scienza_del_comportamento', 'Teoria_comportamentista'}	costituzione	bn:00022052n	{'Costituzione_materiale', 'costituzione_codificata', 'governo_costituzionale', 'Costituzioni', 'costituzionale', 'Legge_organica', 'Costituzione', 'costituzione_scritta', 'Carta_Costituzionale', 'Carta_costituzionale', 'costituzioni', 'Costituzione_(diritto)', 'legge_suprema', 'statuto_organico', 'costituzione', 'legge_fondamentale', 'legge_organica', 'statuto'}
imperatore	bn:00030591n	{'imperatori', 'Caio_Giulio_Cesare', 'Imperatori', 'cesare', 'Imperatrici', 'Imperatrice', 'imperatore', 'Imperatore_(personaggio)'}	spettacolo	bn:00914636n	{'show', 'spettacolo'}
matematico	bn:00053834n	{'matematico', 'matematica', 'Matematici', 'matematici'}	informazione	bn:00046698n	{'notizia', 'informazione', 'info', 'nozione', 'informazioni'}
entropia	bn:17267027n	"{'Entropia', ""Entropia_dell'informazione"", 'entropia_informazioni', ""Entropia_(teoria_dell'informazione)"", 'entropia', 'informazioni_media', 'Entropia_informativa', 'entropia_di_shannon', 'informazione_di_shannon', ""Entropia_nella_teoria_dell'informazione"", ""Entropia_d'informazione""}"	olio di rosa	bn:00007010n	{'essenza_di_rose', 'olio_di_rosa', 'Olio_essenziale_di_rosa', 'olio_di_rose', 'Essenza_di_rosa'}
acqua di rose	bn:00068288n	{'acqua_di_rose', 'Giulebbe', 'Acqua_di_rose'}	pompelmo	bn:00019313n	{'pompelmo', 'citrus_paradisi', 'Pompelmo', 'Citrus_paradisi', 'Citrus_×_paradisi'}
agrume	bn:00019301n	{'Microcitrus', 'agrume', 'agrumi', 'Specie_di_Citrus', 'frutta_citrous', 'Citrus', 'Eremocitrus'}	Inghilterra	bn:00013173n	{'Regno_Unito_di_Gran_Bretagna_e_Irlanda_del_Nord', 'United_Kingdom', 'Inghilterra', 'Britannica', 'Regno_unito', 'regno_unito_di_gran_bretagna_e_irlanda_del_nord', 'u.k.', 'UK', 'GB', 'gran_bretagna', 'Regno_Unito_di_Gran_Bretagna_ed_Irlanda_del_Nord', 'Regno_Unito', 'GBR', 'Gran_Bretagna', 'regno_unito', 'United_Kingdom_of_Great_Britain_and_Northern_Ireland'}
Regina Vittoria	bn:00065652n	"{'Alexandrina_Victoria', 'Vittoria_I_del_Regno_Unito', ""Regina_Vittoria_d'Inghilterra"", ""Vittoria_d'Inghilterra"", 'queen_victoria', 'Regina_Vittoria', ""Vittoria_I_d'Inghilterra"", 'Regina_Vittoria_del_Regno_Unito', 'Vittoria_del_regno_Unito', 'Vittoria_del_Regno_Unito'}"	spirito	bn:00073430n	{'spirito'}
Giochi Olimpici	bn:00058913n	{'olimpiade', 'Giochi_olimpici_antichi', 'olympian_games', 'Giochi_Olimpici_Antichi', 'Giochi_Olimpici_antichi', 'giochi_olimpici', 'XCVI_Olimpiade', 'Olimpiadi', 'Antichi_giochi_olimpici', 'olimpiadi', 'Olimpiadi_antiche'}	musulmano	bn:00055975n	{'musulmani', 'maomettano', 'islamico', 'Islamico', 'Mussulmani', 'mussulmano', 'Mussulmano', 'Musulmana', 'saraceno', 'Islamici', 'Mussulmane', 'Musulmane', 'Musulmani', 'musulmana', 'islamita', 'Mussulmana', 'musulmano'}
uomo	bn:15182425n	{'Uomini', 'homo_sapiens', 'Homo_sapiens_sapiens', 'Homo_Sapiens', 'Specie_umana', 'Esseri_umani', 'Homo_sapiens_arcaico', 'Homo_sapiens', 'Essere_umano', 'Uomo', 'Homo_Sapiens_Sapiens'}	sospetto	bn:00075447n	{'indiziato', 'sospetto'}
meteorite	bn:00054598n	{'meteore', 'meteora', 'meteoroide', 'meteoriti', 'Meteoroidi', 'uranolite', 'meteorite'}	Terra	bn:00029424n	{'Gaia', 'Pianeta_Terra', 'Mondo', 'terra', 'Terra', 'globo', 'Globo_terrestre', 'Sol_d', 'terreno', 'Età_della_Terra', 'globo_terracqueo', 'Globo', 'Globo_terracqueo', 'Superficie_della_Terra', 'Terra_(astronomia)', '♁', 'Sol-3', 'globo_terrestre', '⊕', 'Pianeta_azzurro', 'Terrestre', 'mondo', 'Sol_c'}
simbolo	bn:00077503n	{'segno', 'simbolo'}	segno	bn:00071525n	{'Espressione_(semiotica)', 'Segni_intenzionali', 'Segno_intenzionale', 'segnale', 'Segno_linguistico', 'Representamen', 'segnalazione', 'segno', 'cenno', 'Segno_naturale', 'Segno_(linguistica)', 'Segni_naturali', 'Segno_artificiale', 'out-of-band_di_segnalazione', 'Segni_artificiali'}
antropologia	bn:02529040n	{'Antropologia'}	New York	bn:00041611n	{'New_York_(New_York)', 'NYC', 'new_york', 'Nuova_York', 'greater_new_york', 'Città_di_New_York', 'New_York_City,_New_York', 'new_york_city', 'Newyorkese', 'La_grande_mela', 'New-York', 'New_York,_NY', 'New_York_City', 'città_che_non_dorme_mai', 'The_City_of_New_York', 'New_York', 'Newyorkesi', 'NY'}
tramonto	bn:01888833n	{'tramonto', 'crepuscolo'}	tavolo	bn:00075813n	{'tavolo', 'Tavoli', 'tavola'}
cittadina	bn:00077773n	{'town', 'città', 'Town', 'cittadina', 'paese'}	città	bn:03335997n	{'Città', 'città', 'Centro_urbano', 'Rivoluzione_urbana', 'status_di_città'}
giacca	bn:00011176n	{'Blazer', 'blazer', 'giacca', 'giacca_sportiva', 'sport_cappotto', 'giacca_di_tweed', 'Hacking_jacket'}	acqua minerale	bn:00055131n	{'minerale', 'Oligominerale', 'Acqua_oligominerale', 'Acque_minerali', 'acque_minerali', 'Acqua_minerale_naturale', 'Acqua_minimamente_mineralizzata', 'Oligominerali', 'acqua_minerale'}
natura	bn:00081220n	{'fauna_selvatica', 'vita_selvatica', 'fauna', 'natura'}	flora	bn:00035324n	{'specie_vegetale', 'organismo_vegetale', 'Pianta_(botanica)', 'Plantæ', 'vegetale', 'Vegetali', 'piante', 'specie_di_piante', 'pianta', 'vita_vegetale', 'Plantae', 'vegetazione', 'Flora_(botanica)', 'flora', 'flore', 'Floristica', 'Vegetale', 'pianta_(botanica)', 'Piante', 'Regno_vegetale'}
subroutine	bn:00036826n	{'sottoprogramma', 'routine', 'procedimento', 'procedura', 'subroutine', 'funzione', 'chiamata_di_procedura'}	compilatore	bn:00021344n	{'compilazione_del_programma', 'compilatori', 'compilazione', 'compilatore', 'compilato', 'Compilatori', 'Compilazione', 'Compiler'}
Hamadan	bn:15231079n	{'Provincia_di_Hamadan', 'regione_di_Hamadan', 'Regione_di_Hamadan', 'Hamadan_(provincia)', 'Hamadan'}d	Roma	bn:00015556n	"{'provincia_di_Roma', 'Architetture_di_Roma', 'Fioranello', 'Roma', 'RM', 'città_eterna', 'Città_dei_sette_colli', 'Città_eterna', ""capitale_d'italia"", 'Roma_Capitale', 'Caput_Mundi', 'Città_Eterna', 'Città_di_Roma', 'Urbe', 'capitale_italiana'}"
ombrello	bn:00078920n	{'Paracqua', 'ombrello', 'parapioggia', '☂', 'ombrelloni', 'Parapioggia', 'ombrellone', 'Parasole', 'paracqua', 'ombrelli'}	stufa	bn:00074479n	{'stufe', 'stufe_gas', 'fuoco', 'stufa_a_legna', 'fornello', 'Stufe', 'stufa'}
onore	bn:00027103n	{'amor_proprio', 'onore', 'decoro', 'dignità_umana', 'autostima', 'dignità', 'rispetto_di_sé'}	stima	bn:00066866n	{'stima', 'considerazione', 'rispetto'}
insegna	bn:00071526n	{'insegna', 'cartellone', 'cartello'}	dignità	bn:00027103n	{'amor_proprio', 'onore', 'decoro', 'dignità_umana', 'autostima', 'dignità', 'rispetto_di_sé'}
KFC	bn:03085886n	{'Kentucky_Fried_Chicken'}	McDonald's	bn:01826071n	"{""McDonald's"", 'Mcdonald', ""McDonald's_Corporation"", 'speedee', 'McDonalds', 'Mac_Donald', ""Mcdonald's"", 'MacDonald', ""Mc_Donald's"", 'Mc_donald'}"
joystick	bn:00022301n	{'cloche', 'barra', 'controllo_bastone', 'barra_di_comando', 'Joystick', 'joystick'}	radar	bn:00054808n	{'radiolocalizzatore', 'radar_a_microonde', 'radar', 'radiolocalizzazione', 'stazione_radar', 'radio_rilevamento_e_che_vanno', 'sistema_radar', 'radiotelemetro'}
basmati	bn:00567353n	{'Basmati', 'riso_basmati', 'basmati'}	riso jasmine	bn:02666084n	{'riso_jasmine', 'riso_al_gelsomino'}
medaglia	bn:00025766n	"{'Medaglioni', 'medaglia', 'Medaglistica', 'Medaglie_di_bronzo', 'Medaglista', 'Medaglie', ""Medaglia_d'Oro"", 'arte_medallic', 'decorazione', 'medaglie', 'medaglione', 'Medaglione'}"	scarpe da ginnastica	bn:00042319n	{'scarpa_da_tennis', 'scarpe_da_ginnastica', 'scarpa_sportiva', 'Scarpe_da_tennis', 'scarpe_da_tennis', 'scarpa_da_ginnastica', 'sneaker', 'palestra_scarpa', 'Sneaker', 'Scarpa_da_tennis', 'Scarpe_da_ginnastica'}
